D0000042509167||2021년 제1회 서대문구 보상협의회 개최 결과 보고  일시 : 2021. 4. 29.(목) ~ 5. 4.(화)  심의위원 : 서대문구 보상협의회 위원 12명  심의방법 : 서면심의  심의안건 1) 판결(부당이득금 소송)에 따른 도로사용료 납부 토지의 매입 결정 2) 도시계획시설사업 구간 외 잔여지 등의 확대보상 여부  심의결과 ❍ 심의안건 : 2건
33533_79||경기도노인전문병원 공익적 기능 재정립 방안 제3장 문헌조사 제2절 공공보건의료기관의 공익적 기능 1. ‘지역거점 공공병원’의 공익적 기능 1) 지역거점 공공병원의 개념 ‘공공보건의료 확충 종합대책’에 포함되어 있는 지역거점 공공병원으로서의 기능 강화 대상에 포함된 공공병원은 총 142개로서 병상수로는 48,730 병상에 해당되는 규모로서 크게 ‘국공립 일반병원’과 ‘국공립 특수병원’으로 구분할 수 있다. 먼저 ‘국공립 일반병원’의 경우 국공립 종합병원을 비롯하여, 적십자병원, 보훈 병원, 그리고 현재의 지방의료원의 전신인 ‘지방공사의료원’ 등이 이에 해당되고, 다음으로 ‘국공립 특수병원’의 경우 정신병원을 비롯하여 아동병원, 재활병원, 결핵병원, 그리고 노인요양병원 등이 이에 포함되었다.
865600||어린이 환경안전의 모든 것, 환경안전 전시회에서 확인해요 제4회 어린이 환경안전 전시회 개요 □ 목적 : 어린이 환경정책 소개 및 환경보건 프로그램 참여를 통해 어린이 환경보건에 대한 사회적 관심 유도 및 인식 제고 □ 일시 : 2018.5.24(목) ∼ 25(금), 10:00~18:00 ※ 기념식(어린이 환경안전 서약식) 5. 24(목) 14시:00～14:40 □ 장소 : 국회 의원회관 2층 로비 □ 주최/주관 : 국회의원 강병원·이정미·조승래, 환경부/한국환경산업기술원 □ 기념식 일정 ○ (참석자) 국회의원 ***·***·***, 환경부장관, 한국환경산업 기술원장, 한국어린이집총연합회장 등 약 100명 ○ (행사내용) 인사말씀, 환경안전 퍼포먼스, 전시관람 등
341444_2||『위궤양』 스트레스 예방 및 올바른 식습관 필요 2016년 인구 10만 명당 진료인원을 연령대별, 성별로 살펴보면 ❍ 남성은 70대 이상 4,502명으로 가장 많고, 60대 3,900명, 50대 2,839명 순이며, 여성은 70대 이상에서 4,182명으로 가장 많고, 60대 4,063명, 50대 3,130명 순으로 나타났다. 특히 연령군이 높아질수록 환자수도 급격히 증가하고 있는 것으로 나타났다. ❍ *** 교수는 고연령층의 위궤양 진료환자 증가원인으로, “고연령 층일수록 심장이나 뇌혈관 질환 등으로 인해 아스피린이나 항혈소판 제제의 복용이 많아지고, 퇴행성 관절염으로 비(非)스테로이드 소염제를 복용하는 환자가 증가하기 때문에, 노인 위궤양 환자가 증가하고 있다.“고 밝혔다. - “위염이 반복되는 경우 위궤양 또는 위암으로 진행될 수 있다. 위염과 위궤양, 위염과 위암 사이에는 각각 관련성이 있다. 위염과 위궤양의 원인은 유사하기 때문에 위점막층에 국한되어 염증이 생기는 위염이 심해지면 상처가 더 깊어져 위궤양으로 진행할 수도 있다. 위염과 위암과 관계는 일반적인 경미한 위염은 관련이 없지만 만성적으로 염증이 반복되면 위점막이 얇아지는 만성 위축성 위염이나 위점막에 작은 돌기 같은 것이 무수히 생기는 장상피화생으로 진행하여 위암 발생률이 높아질 수 있다. 그러나 위궤양과 위암의 모양이 비슷하지만 발생 원인이 전혀 다르기 때문에 위궤양이 위암으로 진행되지는 않는다.“고 밝혔다.
29259||“정부의 정보공개 지킴이들 한자리에 모였다.” - 국민이 원하는 정보공개, 모니터단이 도와드립니다. □ 국민의 알권리와 국정참여 증진 등 정보공개제도를 수요자인 국민의 눈높이에 맞추기 위하여 구성된 정보공개 모니터단 이 함께 모여, 모니터 요원의 활동 촉진과 업무 연찬을 위한 자리가 마련되었다. ○ 행정안전부는 9월 14일 정부대전청사 대강당에서 전국의 정보 공개모니터단 과 중앙, 시·도, 시·군·구, 교육청 정보공개 담당공무원 등 700여 명이 참석한 가운데 정보공개모니터단 및 담당자 합동 워크숍 을 개최했다. ○ 이번 행사에서는 정보공개모니터단의 역할과 운영방향 에 대한 전문가의 특강, 정보공개제도 및 사전정보공개 활성화 방안 설명 그리고 정보공개 모니터 우수사례 발표와 토론, 퀴즈대회 순으로 진행되었다. □ 특히, 이번 행사에는 시민의 정보주권 확보를 위해 활발한 활동을 벌이고 있는 투명사회를 위한 정보공개센터 전진한 소장의 강의를 통하여 정부와 국민의 소통을 위해 정보가 더 많이 더 넓게 공유되어야 한다는데 공감하고 정보공개모니터단의 중요성을 확인하는 자리가 되었다. □ 정보공개모니터단 은 공공기관이 사전 공개해야 할 정보들을 충실히 제공하고 있는지, 공개정보를 검색하는 데 어려움은 없는지, 주민의 입장에서 추가 공개가 필요한 정보는 없는지 등을 직접 모니터하여 개선방안을 제시하는 역할을 하고 있다. ○ 현재 모니터요원은 정보공개에 관심 있는 주부, 대학생, 시민단체 등 기관 특성에 맞게 다양하게 구성되어 전국에서 5,300여명이 활동하고 있다.
47179_297||재난기본소득 정책 효과 분석 연구 제2장 현황 및 선행 연구 제2절 선행 연구 3. 한시적 추가 소득 효과 관련 연구 동일 연구진이 현금소득의 장기적 효과를 측정하기 위해 2년 후에 실시간 후속 연구(*********and *******, 2018) 에서도 전반적으로 유사한 결과가 재현되었다. 현금 소득 분배를 실시하고 3년 후에도 수혜집단이 비수혜집단에 비해 자산 보유량, 소비수준, 식량수급의 안정성, 정신적 웰빙에서 여전히 더 높은 수준을 보여주었으며 효과의 크기도 선행연구와 유사하였다. 다만 그사이 현금 소득 분배를 받았던 마을로 이사를 온, 분배를 받지 못했던 가구는 순수한 통제집단(수혜를 받지 못했던 마을에 그대로 거주하는 비수혜 가구)에 비해 소비 수준과 식량안정성이 낮은 경향을 보여주었다. 이러한 현금이전 정책들에 대하여 ****** ** **(2013)은 기본소득과 같은 현금이전 프로그램은 자격심사 여부를 막론하고 인적자원 향상에 도움이 된다고 지적한다. 이는 해당 프로그램이 미래지향적인 행동에 따르는 리스크를 감소시키기 때문이며, 인적자원 향상 효과는 사회적 상호작용에 의하여 증폭되기 때문이다. 다시 말해, 집단면역과 같이 현금이전으로 인한 소득 향상은 자녀의 학교 졸업 가능성을 높이며, 자녀 입장에서는 동네의 모든 친구가 학교에 다닐 경우 자신도 학교에 다니게 된다. 그리고 조건 없는 현금이전이 조건이 걸린 현금이전 정책에 비해 비용은 더 많이 들지만, 대부분의 경우 수혜자가 정책설계자의 의도와는 별개로 소득을 각자의 방식대로 효율적으로 사용하기 때문에, 추가 비용을 사회적 참여를 보장하는 비용으로 용인할 수 있다고 주장한다.
1285550||과학기술위성 3호, 2년간의 성공적 임무 완료 - 국내 최초 초기 우주 진화 연구를 위한 적외선 우주관측 임무 완수 - □ 미래창조과학부(장관 최양희, 이하 미래부)와 한국과학기술원 인공위성연구센터(소장 ***)는 지난 11. 18.(수), 「제32회 우주기술개발사업 추진위원회」를 개최하여 2013년 11월 발사이후 국내 최초 적외선 우주관측 임무를 완수한 과학기술위성 3호*를 앞으로는 연구용으로 활용한다고 밝혔다. * 170kg, ‘06년~’14년까지 예산 279억원(미래창조과학부), 항공우주연구원 및 한국과학기술원 인공위성연구센터, 한국천문연구원, 공주대학교 등 다수 기관 및 기업의 연구인력 참여 ㅇ 과학기술위성 3호는 적외선 우주관측 카메라가 노후화된 상태로 위성의 임무연장 없이 수명이 다할 때까지 차세대 위성기술 연구용으로 활용될 예정이다. □ 과학기술위성 3호는 발사 후 2년 동안 600km 상공에서 약 10,500회 지구를 선회하는 동안 우주파편과의 충돌위험이 2차례(‘14.9월, ’15.1월) 있었으나, 국내 최초로 우주기원 연구를 위한 우리은하 적외선 영상 확보의 임무를 성공적으로 완수하였다. ㅇ 과학기술위성 3호는 수명 2년으로 개발되었으며, 적외선 우주관측 카메라로 우리은하와 우주 배경 복사 탐사를 성공적으로 수행하여 우리은하의 기원과 우주탄생 초기 별들의 공간 분포 등을 연구할 천문우주학 자료를 확보하였다. ㅇ 또한, 국산 적외선 센서를 사용하여 개발된 적외선 지구관측카메라의 우주환경 활용검증을 통해 국내 기업의 우주핵심기술 개발을 지원하고, 소형 영상분광기 핵심 기술을 확보하는 성과를 거두었다.
1127400_2||경제부터 생물다양성까지 미얀마와 환경협력 기반 다진다 카친 생물다양성 연구실 개요 (추진배경) 한-미얀마 환경협력 차관회담을 통해 미얀마 카친주 생물 다양성 조사 확대 및 생물다양성 연구실 설치 합의(‘18.6) (명칭) 카친 생물다양성 연구실(Hkakabo Razi Biodiversity Research Center) (소요예산) 국립생물자원관 해외경상이전비 1억원 - 미얀마 산림청 : 건설 부지 제공 - 국립생물자원관 : 건설 등 제반 비용 및 실험 물품, 기자재 등 □ 건물 정보 1층 : 실험실, 전시교육실, 장비보관실 2층 : 연구원 숙소, 편의시설, 시료 건조 공간 등
57331||춥고도 길었던 겨울, 그래도 그리운 그 시절 - 행정자치부 국가기록원, 1월 이달의 기록 주제로 ‘겨울 풍경’ 선정 - □ 추위를 잊은 채 얼음판을 내닫던 썰매타기, 옆집 동무와 함께하던 눈싸움..., 지금도 눈감으면 떠오르는 즐겁고 행복했던 어릴 적 겨울철 기억이다. 연중 가장 춥다는 대한(大寒, 1.20.)을 앞두고, 1950년대~2000년대 그 시절의 겨울 풍경을 기록으로 만나본다. □ 행정자치부 국가기록원(원장 ***)은 대한을 맞아 1월 이달의 기록 주제를 “기록으로 보는 그 시절 겨울 풍경”으로 정하고 관련 기록물을 17일부터 누리집(www.archives.go.kr)을 통해 제공한다. ○ 이번에 제공되는 기록물은 총 39건(동영상 14, 사진 24, 팸플릿 1)으로 혹한과 폭설 속 생활 모습, 스키·스케이트 등 겨울 스포츠, 학생들의 겨울방학 활동 모습을 담고 있다 □ 겨울에는 강추위와 폭설이 여러 차례 찾아왔는데, 이러한 겨울 풍경은 세월의 흐름에 따라 변해왔다. ○ 1972년에는 영동지방 일대에 큰 눈이 내려 마을이 고립됐으며, 1980년에는 추운 날씨로 속초 앞바다가 얼어붙었지만, 아이들은 씩씩하게 눈밭을 헤치며 등교했다.(동영상 9·11) ○ 1950년대만 해도 한강에서 얼음을 채취해 빙고(氷庫)에 저장했다가 여름에 사용했는데, 이를 보여주는 한강 채빙 모습(사진 6), 서울역과 영동선 선로에서의 제설작업(사진 11·12), 폭설로 발이 묶인 시민들을 돕기 위해 나선 육군 부대의 제설작업 영상도 눈에 띈다.(동영상 6) - 또한, 눈이 내린 진부령에 편지를 배달하는 우편배달부 모습과 육군 스키부대의 훈련 모습도 볼 수 있다.
D0000042496577_1||2021년 구정홍보 모션그래픽 영상 제작 계획 Ⅰ 제작개요 ▢ 제작기간 : 2021년 6~12월 ▢ 제작내용 : 구정 주요사업 및 행사 홍보 ▢ 제작편수 : 총 6편 ▮ 편당 30초 가로형 기준으로 제작, 아래 영상 추가 제작 - 15초 축약 영상 - 세로형, 커브형 등 관내 매체의 규격에 맞춰 수정한 영상 ▢ 계약방법 : 협상에 의한 계약 ▢ 제작예산 : 금24,000천원 (VAT포함)
73944||동반성장 차 협력기업까지 구석구석 확대 참석 기업들은 대기업의 동반성장 참여가 확산되고 있는 만큼, 어려운 여건에도 불구하고, 2차 협력업체와의 상호호혜적 지원과 협력방안을 검토해 나가기로 뜻을 같이 하였다. 한편, 이날 간담회에서는 참석기업들의 동반성장 실천 사례가 소개되어 관심을 모았다. ① 이오테크닉스는 2차 협력업체와 공동연구를 통한 부품 국산화에 성공하여, 2차 협력사의 납품액이 3배로 증가(2009년 20억원→2011년 58억원)했다. 거래대금도 법정지급기일(60 ) 일 보다 훨씬 앞당겨 지급(15일)함으로써 2차 협력업체의 자금사정에 숨통을 틔워주고 있다. ② 삼우에코는 납품대금을 100% 현금으로 지급하는 한편, 2005년부터 2차 협력사와 성과공유제를 실시해 오고 있다. 38건에 이르는 특허권도 협력사와 공유해 나갈 예정이다. ③ 진합은 자금사정이 열악한 협력업체로의 자금지원에 노력하여 2차 협력사의 설비구입 공장이전 등 작년 한해 12억원을 지원한 바 있다 . 홍 장관은 동반성장에서 차 협력사의 중요성을 강조하며 중소기업간 거래에서도 공정거래 질서를 확립하는 등 “1차 협력업체가 동반성장의 ‘병목’ 이 되지 않도록 노력해 줄 것”을 주문했다. 또한 1차 협력업체의 혁신역량을 제고하고 대기업과의 공정한 성과 배분을 이뤄 나가기 위한 모델로서 성과공유제를 제안하고 중소 중견기업의 참여를 요청하였다. 홍 장관은 성과공유제는 과실을 키우면서 또 나누는 지식경제부의 동반성장 정책철학과 꼭 들어맞는 모델임을 강조하면서, 성과공유제가 성공적으로 안착하여 꽃피기 위해서는 협력업체의 아이디어와 신기술제안 등 ‘성과공유 씨앗’이 결정적임을 언급하였다. 아울러 지경부 중기청은 중소 중견기업의 경쟁력을 강화하고 역량있는동반성장 파트너로 성장할 수 있도록 1조8 천억원 규모의 R&D자금을 지원* 키로 밝혔다 . * 지경부 1.4조원(중소·중견 R&D) 및 중기청  4,600억원(민관· R&D펀드+구매조건부기술개발사업)
182801_6||'환경복지 증진'과 '미래환경 대비'를 위해 2013년도에 예산 6.2조원 투자 환경복지 ․ 미래대비 2013년 환경예산안 Ⅰ 2013년도 예산안 현황 3 수계기금 및 석면기금 운용계획안  4대강 수계기금 운용계획안 ○ (수입) 전년 대비 502억원(6.2%) 증액된 8,666억원 - 최근 3년간 물사용량 추이를 반영하여 물이용부담금*은 219억원 증액하고 여유자금 회수는 230억원 증액 * 톤당 부담금은 동결 : 한강 / 영산강․섬진강 170원, 낙동강 / 금강 160원 ○ (지출) 전년 대비 502억원(2.3%) 증액된 8,666억원 ※ 총지출(여유자금 제외) 기준으로는 8,471억원('12년 대비 465억원 증가) - 토지매수 및 수변구역 관리(805억원), 주민지원사업(62억원), 기타수질개선지원(119억원), 오염총량관리(51억원)는 증가 - 환경기초시설 설치 수요감소로 설치지원사업은 감소(△666억원)  석면피해구제기금 운용계획안 ○ (수입) 전년 대비 175억원(120%) 증액된 320억원 - 석면피해구제분담금 등 자체수입 18억원 및 여유자금 회수 172억원 증액, 환특 전입금 15억원 감액 ○ (지출) 전년 대비 175억원(120%) 증액된 320억원 - 석면피해구제급여 19억원, 석면피해구제신고센터 운영 1억원, 여유자금 운용 154억원 증액
160250_4||신산업 창출 중심으로 산업부 연구개발(R&D) 전면 개편  - 산업기술R&D 혁신방안 발표 -  □ 산업통상자원부는 3. 13.(화) ㈜고영테크놀러지(서울 금천구 소재)에서 산업기술 연구개발(R&D) 수행기업․대학․연구소 및 연구개발 전담기관 관계자가 참석한 가운데 '산업기술R&D 전문가 간담회'를 개최하고「산업기술R&D 혁신방안」을 발표했다. ㅇ 이인호 산업통상자원부 차관은 동 간담회에서 “이번 산업기술 연구개발(R&D) 혁신방안은 ① 신산업 집중 육성을 위해 산업기술 연구개발(R&D)의 전략성을 높이고 ② 연구개발(R&D) 관리시스템의 융합․개방․자율성을 강화하는 한편, ③사업화 성과를 극대화해 연구개발(R&D)을 통한 신시장과 일자리 창출을 가속화하기 위해 마련했다.”라고 밝혔다.
345043_3||커뮤니티케어 추진방향 관련 Q&A 자료 5. 의료기관 퇴원 후에도 돌봄이 필요한 사람에 대한 서비스 연계 체계는 어떻게 마련할 계획인가요? ○ 질환 및 건강상태에 따라 급성기 치료와 회복 및 요양을 반복하는 노인 등에 대한 끊김 없는(seamless) 서비스 제공을 위해 의료 기관과 지역사회 돌봄의 연계체계 필요 * 호스피스 제공기관, 재활의료기관 지정시범사업 등에서는 1급 사회복지사를 1명이상 배치하고, 돌봄 재활 등 지역사회 서비스와 연계기능 등 수행 중 - 이를 위해 관련 전문인력을 배치하고, 환자의 퇴원계획 수립, 지역사회 돌봄 인프라(읍면동 케어통합창구 등) 연계 등을 수행할 경우 수가보상하는 방안* 등 검토 * 2019년 환자 퇴원지원을 위한 시범사업 추진 * (참고) 의료법은 종합병원, 상급종합병원에 사회복지사 자격을 가진 자를 1명 이상 두도록 함(환자의 갱생, 재활과 사회복귀를 위한 상담 및 지도)
182005_8||우리집 냉장고는 냉(冷) 창고? □ 이에 대해 중앙대학교 식품영양학과 이선영 교수는 전문가들은 '리스테리아'와 같은 몇몇 병원성 세균은 냉장실 온도(4~5도)에서도 생육해 식중독을 일으킬 수 있다. 냉동실은 영하 20도 이하로 미생물 번식은 어려우나 장시간 보관 시 식품의 변형과 영양소의 손실을 야기할 수 있다”며 “위생과 영양을 고려할 때 냉장고 보관에 크게 의존해서는 안 된다”고 지적했다. ※ 리스테리아균(Listeria monocytogenes) : 냉장 온도에서 자라는 냉온성 세균으로 과일, 채소 등의 신선식품, 즉석 섭취식품, 우유 및 유제품 등에서 발견됨. 이 균에 오염된 식품을 냉장고에서 장기간 보관 시 높은 농도로 생육해 식중독을 일으킬 수 있음. 리스테리아에 의한 식중독은 발열 및 구토, 설사 등을 유발하며, 임산부의 유산과 사산, 노약자 등의 면역이 약한 사람의 사망을 초래할 수 있음.
33533_125||경기도노인전문병원 공익적 기능 재정립 방안 제5장 경기도노인전문병원의 공익적 기능 재정립 방안 제1절 연구결과 종합 및 시사점 2. 실사조사 결과 종합 본 연구에서는 공립노인전문병원 및 경기도노인전문병원의 공익적 기능 재정립 방안을 찾기 위해 경기도노인전문병원의 내부 구성원들을 대상으로 포커스 그룹 인터뷰와 전국 공립노인전문병원들을 대상으로 전화 설문조사를 수행하였고 그 결과를 종합하면 다음과 같다.  먼저 경기도노인전문병원의 내부 구성원들을 대상으로 포커스 그룹 인터뷰의 주요 결과를 종합하면 다음과 같다. ‘현재 수행 중인 공익적 기능’에 대해서는 정부의 공공보건의료계획 지침에서 제시하는 공익적 기능 항목에 따라 개별 병원들이 발굴하여 수행 중인 사업들 외에 현재 공립노인전문병원은 정부가 설립한 병원이기 때문에 지역사회에서 신뢰도가 높고, 시설 및 기능적으로도 민간병원의 선도적인 위치에 있기 때문에 좋은 이미지를 유지하고 있는데 이러한 것들이 공익적 기능의 일부라는 의견이 있었다. 특히 민간병원들이 기피하거나 케어가 어려운 중증도가 높은 환자들에 대해서도 전문화된 서비스를 제공하는 등 적정진료 및 양질의 의료서비스를 제공하고 있는 것도 공익적 기능이라는 의견이었다.
15558_0||내안에 숨은 발명의 끼를 찾자! - 제13기 특허청 청소년 발명기자단 발명기자 모집 - 특허청(청장 최동규)은 우리나라 미래를 이끌어 나갈 창조인재 꿈나무를 육성하기 위한 ‘제13기 특허청 청소년 발명기자단’을 3월 21일부터 4월 15일까지 모집한다. 청소년발명기자단은 발명, 과학에 관한 취재활동과 기사작성 활동을 통해 청소년들의 글쓰기 능력을 함양하고 발명과 지식재산권에 대한 관심을 높이기 위해 2005년부터 운영되고 있다. 청소년발명기자단 기자가 되면 발명체험활동 참가, 발명 및 과학 관련 행사 참관, 기업체 및 연구소 견학, 전문가 인터뷰 등 다양한 견학 및 체험 프로그램에 참가할 수 있다. 또한, 기자로서의 기본 소양 함양을 위한 지식재산권 관련 온라인 교육을 연중 상시 수강할 수 있다.
1213046_0||지식재산강국 실현을 위한,‘제2기 국가지식재산위원회’출범 □ 제2기 첫 회의*에서는 ‘특허 등 지식재산권 소송관할 제도 개선안’을 비롯해 ‘특허 소송대리 전문성 강화방안’, ‘표준특허의 전략적 확보방안’, ‘직무발명보상제도 활성화방안’, ‘국가 특허경쟁력 강화방안’ 등 모두 5건의 안건을 상정․심의하였다. * 1기위원회를 포함한 위원회 전체로는 제9차회의 ㅇ 국가재산지식위원회는 최근 국내외에서 급증하고 있는 지재권 분쟁해결의 전문성‧신속성 강화를 위한 특허무효소송과 침해 (손해배상)소송의 항소심관할 일원화와 특허변호사제 도입 및 변리사의 특허침해소송 참여 등도 심도 있게 논의하였다. - 이번 제도개선 방안들은 그동안 지속적인 문제제기가 있었으나 이해관계자들의 현격한 입장차이로 장기간 해결하지 못한 쟁점 현안들로, ‘지식재산권 분쟁해결제도 선진화 특별전문위원회’에서 1년 반에 걸친 논의 끝에 최종 합의를 이끌어냈다는 점에서 의미가 있다. ㅇ 정부는 이날 심의․확정된 표준특허의 전략적 확보방안, 직무발명보상제도 활성화방안 등 부처 간 협업이 중요한 과제들에 대해서는 미래창조과학부, 산업통상자원부, 특허청 등 관계부처가 적극적으로 협력하여 추진해 나가기로 했다.
156802_0||동북아 오일 허브 구축을 위한 규제개선 본격 추진 □ 내년부터 우리나라 보세구역에서도 싱가포르, 네덜란드 등 세계적인 오일 허브와 같은 수준으로 석유제품의 혼합/제조를 통한 부가 가치 활동이 가능해진다. ㅇ 산업통상자원부는 국제석유거래업을 신설하고 보세구역에서 석유 제품을 혼합/제조할 수 있도록 하는 「석유 및 석유대체연료 사업법(이하 석유사업법)」개정 법률안이 12. 9. 국무회의에서 심의 의결한다고 말했다. □ 이번 석유사업법 개정 법률안의 주요 내용은 ㅇ 보세구역내에서 석유를 거래하거나, 석유제품을 혼합·제조하여 거래하는 ‘국제석유거래업’을 신설하고  ㅇ 국제석유거래업은 신고제로 하되, 단순 차익거래만 수행하는 경우에는 신고 예외를 인정해 외국인도 우리나라 보세구역에서 자유로이 석유를 거래할 수 있으며 ㅇ 보세구역에서 가능한 품질보정행위에 대한 관련 제한을 폐지하여 석유정제시설 소재지와 같은 수준까지 품질보정을 허용한다 □ 이번 석유사업법 개정 추진은 지난 3. 12. 제5차 무역투자진흥회의를 계기로 발표한「동북아오일허브 추진 대책」의 후속조치다. ㅇ 법 개정은 석유사업 분야의 규제 완화 및 국정과제 이행을 위한 핵심 제도개선 과제에 해당하며, 동북아오일허브 구축에 가장 중 요한 법적 기반을 마련한다는 의미가 있다.
68588||재산세, 자동차세 등 지방세 개선방안 주민제안 최초 공모 □ 행정안전부(장관 김부겸)는 2월 1일부터 28일까지 한 달간 위택스(www.wetax.go.kr) 누리집에서 2019년 지방세제 개편안 마련을 위한 주민 아이디어를 최초로 공모한다. □ 이번 주민제안 공모는, 주민 생활과 밀접한 지방세(취득세, 재산세, 자동차세 등)를 보다 합리적으로 운영하기 위해 다양하고 창의적인 주민의 소중한 아이디어를 직접 구하려는 것으로, 주민과 함께하는 정책마련을 위해 최초로 실시하는 것이다. ○ 대한민국 국민이면 누구나 회원가입 없이도 지방세 인터넷 전자 신고납부 시스템인 위택스 누리집을 통해 참여할 수 있다. ○ 우수 제안에 대해서는 온누리 상품권(10만원권)을 제공하고, 향후 2019년 지방세 제도개선 과제로 채택된 과제에 대해서는 ‘지방세 발전 유공 표창’도 수여할 계획이다. ※ 우수 제안 결과발표는 2019.3월말 위택스 누리집을 통해 공개할 예정 □ *** 행정안전부 지방재정경제실장은 “이번 주민제안을 통해 채택된 과제에 대해서는 「2019년 지방세제 개편안」 마련에 적극 활용하여, 주민이 공감하고 소통할 수 있는 지방세제 개편이 될 수 있도록 노력하겠다.”라며, “국민 여러분의 많은 참여를 부탁 드린다.” 라고 밝혔다.
157955_0||제목 : 원유 비쌀 때 사고 쌀때는 미적, 딜레마 빠진 ‘전략비축유 정책’ (2015.1.26. 서울경제)  ‘정부의 비축유 신규 확보는 축소 추세’ 내용 관련 ㅇ 현재 정부는 비축목표(’25년까지 1억7백만B) 달성을 위해 매년 일정한절차(연간 목표량을 평균가격으로 구입)에 따라 비축유 확보 중 * 종전에는 유가에 탄력대응하기 위해 석유공사가 저점을 판단해 구입시점물량을 결정하였으나, 유가의 불확실성 및 저점 포착에 따른 구입 지연에대한 국회 지적을 수용해 2009년 이후 現시스템으로 개선 유지 중 ㅇ 다만, 올해의 경우 2015년부터 이어진 저유가 기회요인 활용을 위해 관련 예산을 최대한 확보 (2015년: 549억원 → 2016년:900억원)  ‘유가 흐름을 반영한 탄력대응 필요’ 내용 관련 ㅇ 정부 석유비축은 원유·제품 수급에 비상상황 발생시 긴급 대응하기 위한 에너지 안보 정책으로 경제성보다는 안정성이 우선임 - 따라서 단기간 유가 등락에 따른 큰 폭의 조정이나 차익 매매 등 경제적 운용보다는 매년 안정적으로 비축유를 확보하기 위해 노력중
71750||재난취약계층 폭염피해 최소화 추진 □ 행정안전부(장관 진영)는 본격적인 폭염과 열대야가 시작됨에 따라 ‘맞춤형 무더위 쉼터’ 운영 등 긴급 폭염대책 추진을 위해 특별교부세 35억 원을 지원한다. □ ‘맞춤형 무더위 쉼터‘는 지난해 서울 노원구 등 일부 지자체에서 운영하여 효과가 높았던 사업으로 어르신 등 취약계층을 대상으로 시원한 잠자리를 제공하는 사업이다. ○ 올해에는 특교세 지원을 통해 전국 774개소로 확대하며, 냉방기가 설치되어 있는 체육관, 주민센터, 강당 등의 장소에 텐트 등 잠자리를 설치하고 손 마사지 등 다양한 연계 건강프로그램을 운영하는 한편 이용자의 이동편의를 위해 셔틀버스도 운행할 계획이다. □ 행안부는 지난 6월말까지 폭염저감시설 설치 현황 등 폭염대비태세 점검을 완료하였고 폭염피해 예방을 위한 국민행동요령 알림 캠페인을 지속적으로 시행한다는 방침이다. ○ 한편, 김계조 재난안전관리본부장은 7월 9일 폭염대응기간 동안 개최 되는 광주세계수영선수권대회의 폭염대비 실태를 점검할 계획이다. □ 진영 행안부 장관은 “무더위가 본격적으로 시작되면 독거노인이나 기초생활수급자 등과 같은 재난취약계층이 가장 어려움을 겪을 수 있다.”라며, “전국 지자체에서는 폭염대책을 추진함에 있어 재난 취약계층에 대한 보다 세심한 배려와 관심을 가져주기를 바란다.”라고 당부했다.
1212942_1||고효율 고분자 태양전지 기술 개발 - 극성용매 처리를 통한 전자수송층과 광활성층 사이 계면조절 기술 개발 - 용어 설명 1. 어드밴스드 머티어리얼즈(Advanced Materials) o 재료 및 응용분야 대표과학전문지 (2012 기준 IF=14.829) 2. 고분자 태양전지(Polymer Solar Cell) o 공액 고분자를 태양광 흡수체로 사용하여 빛 에너지를 전기 에너지로 변화하는 소자로서 제작 등에 제약이 적고 용액공정이 가능해 차세대 태양전지로 주목받고 있음 o 일반적으로 ITO/PEDOT:PSS/광활성체/알루미늄 구조로 제작되며 ITO를 정공이 모이는 양극으로 사용하고 알루미늄을 전자가 모이는 음극으로 사용 o PEDOT:PSS 물질은 강한 산성을 뛰어 ITO를 부식시키고 알루미늄과 같은 낮은 일함수를 갖는 금속을 전극으로 사용하기 때문에 소자 안정성이 떨어지는 것이 단점 3. 역구조 고분자 태양전지(Inverted Polymer Solar Cell) o 일반적인 고분자 태양전지와 반대로 ITO를 음극으로 사용하고 금, 은과 같은 금속전극을 양극으로 사용하는 태양전지 o 일함수가 높은 금, 은을 전극으로 사용하며 PEDOT:PSS 대신 금속 산화물을 전하 수송층으로 사용하기 때문에 안정성이 좋다는 것이 장점
